apt_name_dp,apt_IATA_dp,apt_time_dt_dp,apt_time_tm_dp,Country_dp,City_dp,apt_name_ds,apt_IATA_ds,apt_time_dt_ds,apt_time_tm_ds,City_ds,Country_ds,trip_class,price,ticket_sold_by,travel_type
Vancouver International Airport,YVR,2025-12-27,18:35:00,Canada,Vancouver,Auckland Airport,AKL,2025-12-29,05:30:00,Auckland,New Zealand,Economy,1871,[],One way
Vancouver International Airport,YVR,2025-12-27,23:45:00,Canada,Vancouver,Auckland Airport,AKL,2025-12-29,11:00:00,Auckland,New Zealand,Economy,1655,[],One way
Vancouver International Airport,YVR,2026-01-03,18:35:00,Canada,Vancouver,Auckland Airport,AKL,2026-01-05,05:30:00,Auckland,New Zealand,Economy,2196,[],One way
Vancouver International Airport,YVR,2026-01-03,23:45:00,Canada,Vancouver,Auckland Airport,AKL,2026-01-05,11:00:00,Auckland,New Zealand,Economy,2194,[],One way
Vancouver International Airport,YVR,2026-01-10,18:35:00,Canada,Vancouver,Auckland Airport,AKL,2026-01-12,05:30:00,Auckland,New Zealand,Economy,2092,[],One way
Vancouver International Airport,YVR,2026-01-10,23:45:00,Canada,Vancouver,Auckland Airport,AKL,2026-01-12,11:00:00,Auckland,New Zealand,Economy,1985,[],One way
Vancouver International Airport,YVR,2026-01-17,18:35:00,Canada,Vancouver,Auckland Airport,AKL,2026-01-19,05:30:00,Auckland,New Zealand,Economy,1767,[],One way
Vancouver International Airport,YVR,2026-01-17,23:45:00,Canada,Vancouver,Auckland Airport,AKL,2026-01-19,11:00:00,Auckland,New Zealand,Economy,1985,[],One way
Vancouver International Airport,YVR,2026-01-24,18:35:00,Canada,Vancouver,Auckland Airport,AKL,2026-01-26,05:30:00,Auckland,New Zealand,Economy,1871,[],One way
Vancouver International Airport,YVR,2026-01-24,23:45:00,Canada,Vancouver,Auckland Airport,AKL,2026-01-26,11:00:00,Auckland,New Zealand,Economy,1864,[],One way
Vancouver International Airport,YVR,2026-01-31,18:35:00,Canada,Vancouver,Auckland Airport,AKL,2026-02-02,05:30:00,Auckland,New Zealand,Economy,1767,[],One way
Vancouver International Airport,YVR,2026-01-31,23:45:00,Canada,Vancouver,Auckland Airport,AKL,2026-02-02,11:00:00,Auckland,New Zealand,Economy,1864,[],One way
