Country,City,Location_ID,Location_Name,Type_of_Attraction,Attraction_Category,Latitude,Longitude,Date,Avg_Daily_Pedestrian_Count,Holiday,Weather_Temperature_Avg,Weather_Wind_Speed_Avg,Weather_Precipitation_Sum,Weather_Relative_Humidity_Avg
Ireland,Dublin,IRDUB_3,St Stephen’s Green,Park,Nature & Outdoor,53.3382,-6.2591,2021-02-04,96162.0,0.0,7.2804985,12.024063,3.2000003,89.55181
Ireland,Dublin,IRDUB_3,St Stephen’s Green,Park,Nature & Outdoor,53.3382,-6.2591,2021-02-05,69850.0,0.0,4.8971667,9.523454,1.9000002,93.90252
Ireland,Dublin,IRDUB_3,St Stephen’s Green,Park,Nature & Outdoor,53.3382,-6.2591,2021-02-06,113012.0,0.0,5.4325833,19.104532,4.4999995,91.42721
Ireland,Dublin,IRDUB_3,St Stephen’s Green,Park,Nature & Outdoor,53.3382,-6.2591,2021-02-07,187551.0,0.0,3.2179997,28.827879,0.4,66.00417
Ireland,Dublin,IRDUB_3,St Stephen’s Green,Park,Nature & Outdoor,53.3382,-6.2591,2021-02-08,144926.0,0.0,2.009667,26.307451,1.3000001,66.455055
Ireland,Dublin,IRDUB_3,St Stephen’s Green,Park,Nature & Outdoor,53.3382,-6.2591,2021-02-09,193630.0,0.0,1.6596669,25.875963,0.5,64.40844
Ireland,Dublin,IRDUB_3,St Stephen’s Green,Park,Nature & Outdoor,53.3382,-6.2591,2021-02-10,219391.0,0.0,1.4138335,19.866194,0.0,61.20784
Ireland,Dublin,IRDUB_3,St Stephen’s Green,Park,Nature & Outdoor,53.3382,-6.2591,2021-02-11,227120.0,0.0,1.5784168,28.115364,0.0,67.28309
Ireland,Dublin,IRDUB_3,St Stephen’s Green,Park,Nature & Outdoor,53.3382,-6.2591,2021-02-12,249960.0,0.0,2.263833,30.87645,2.6000001,64.69793
Ireland,Dublin,IRDUB_3,St Stephen’s Green,Park,Nature & Outdoor,53.3382,-6.2591,2021-02-13,86383.0,0.0,4.2534165,32.675926,8.399999,86.48115
Ireland,Dublin,IRDUB_3,St Stephen’s Green,Park,Nature & Outdoor,53.3382,-6.2591,2021-02-14,64231.0,0.0,10.126332,22.918642,4.2000003,85.907616
Ireland,Dublin,IRDUB_3,St Stephen’s Green,Park,Nature & Outdoor,53.3382,-6.2591,2021-02-15,91784.0,0.0,10.745083,19.73983,2.1000001,80.10893
Ireland,Dublin,IRDUB_3,St Stephen’s Green,Park,Nature & Outdoor,53.3382,-6.2591,2021-02-16,100382.0,0.0,8.843,21.963877,0.8,79.18797
